,greatersydney,rings,lga,dwellingtype,bedrooms,wrent_median,new_bonds_no,total_bonds_held,date
9680,Greater Sydney,Inner Ring,Waverley,Flat/Unit,Bedsitter,450.0,37,380,2018-03-31
9681,Greater Sydney,Inner Ring,Waverley,Flat/Unit,1 Bedroom,590.0,286,2611,2018-03-31
9682,Greater Sydney,Inner Ring,Waverley,Flat/Unit,Not Specified,670.0,40,785,2018-03-31
9683,Greater Sydney,Inner Ring,Waverley,Flat/Unit,2 Bedrooms,780.0,474,5318,2018-03-31
9684,Greater Sydney,Inner Ring,Waverley,Flat/Unit,3 Bedrooms,1050.0,81,889,2018-03-31
9685,Greater Sydney,Inner Ring,Waverley,Flat/Unit,4 or more Bedrooms,,,76,2018-03-31
9693,Greater Sydney,Inner Ring,Woollahra,House,Total,1450.0,147,783,2018-03-31
9694,Greater Sydney,Inner Ring,Woollahra,House,Bedsitter,,,,2018-03-31
9695,Greater Sydney,Inner Ring,Woollahra,House,1 Bedroom,,,s,2018-03-31
9696,Greater Sydney,Inner Ring,Woollahra,House,Not Specified,,,66,2018-03-31
9697,Greater Sydney,Inner Ring,Woollahra,House,2 Bedrooms,897.5,34,152,2018-03-31
9698,Greater Sydney,Inner Ring,Woollahra,House,3 Bedrooms,1310.0,50,261,2018-03-31
9699,Greater Sydney,Inner Ring,Woollahra,House,4 or more Bedrooms,2150.0,54,282,2018-03-31
9700,Greater Sydney,Inner Ring,Woollahra,Other,Total,675.0,35,1315,2018-03-31
9701,Greater Sydney,Inner Ring,Woollahra,Other,Bedsitter,,,57,2018-03-31
9702,Greater Sydney,Inner Ring,Woollahra,Other,1 Bedroom,,,165,2018-03-31
9703,Greater Sydney,Inner Ring,Woollahra,Other,Not Specified,660.0,s,493,2018-03-31
9704,Greater Sydney,Inner Ring,Woollahra,Other,2 Bedrooms,,,390,2018-03-31
9705,Greater Sydney,Inner Ring,Woollahra,Other,3 Bedrooms,,,154,2018-03-31
9706,Greater Sydney,Inner Ring,Woollahra,Other,4 or more Bedrooms,,,56,2018-03-31
9707,Greater Sydney,Inner Ring,Woollahra,Townhouse,Total,1150.0,79,802,2018-03-31
9708,Greater Sydney,Inner Ring,Woollahra,Townhouse,Bedsitter,,,,2018-03-31
9709,Greater Sydney,Inner Ring,Woollahra,Townhouse,1 Bedroom,,,35,2018-03-31
9710,Greater Sydney,Inner Ring,Woollahra,Townhouse,Not Specified,,,43,2018-03-31
9711,Greater Sydney,Inner Ring,Woollahra,Townhouse,2 Bedrooms,850.0,s,240,2018-03-31
9712,Greater Sydney,Inner Ring,Woollahra,Townhouse,3 Bedrooms,1250.0,43,387,2018-03-31
9713,Greater Sydney,Inner Ring,Woollahra,Townhouse,4 or more Bedrooms,1405.0,s,96,2018-03-31
9714,Greater Sydney,Inner Ring,Woollahra,Flat/Unit,Total,700.0,554,5524,2018-03-31
9715,Greater Sydney,Inner Ring,Woollahra,Flat/Unit,Bedsitter,370.0,s,225,2018-03-31
9716,Greater Sydney,Inner Ring,Woollahra,Flat/Unit,1 Bedroom,535.0,145,1323,2018-03-31
9717,Greater Sydney,Inner Ring,Woollahra,Flat/Unit,Not Specified,760.0,s,430,2018-03-31
9718,Greater Sydney,Inner Ring,Woollahra,Flat/Unit,2 Bedrooms,740.0,269,2730,2018-03-31
