,lga,sales_price_median,sales_price_mean,sales_no,date,greatersydney_y,rings_y,dwellingtype_y,wrent_median,new_bonds_no,total_bonds_held,dwellingtype_g
132,Wollondilly,767.0,851.0,135.0,2018-03-31,Greater Sydney,Outer Ring,House,450.0,147.0,1450.0,Non Strata
133,Wollondilly,425.0,403.0,20.0,2018-03-31,Greater Sydney,Outer Ring,Other,430.0,20.0,266.0,Strata
134,Wollondilly,425.0,403.0,20.0,2018-03-31,Greater Sydney,Outer Ring,Townhouse,387.5,20.0,81.0,Strata
135,Wollondilly,425.0,403.0,20.0,2018-03-31,Greater Sydney,Outer Ring,Flat/Unit,315.0,20.0,194.0,Strata
136,Inner West,1458.0,1565.0,338.0,2018-06-30,Greater Sydney,Inner Ring,House,800.0,620.0,5680.0,Non Strata
137,Inner West,776.0,811.0,347.0,2018-06-30,Greater Sydney,Inner Ring,Other,550.0,204.0,4943.0,Strata
138,Inner West,776.0,811.0,347.0,2018-06-30,Greater Sydney,Inner Ring,Townhouse,750.0,159.0,2649.0,Strata
139,Inner West,776.0,811.0,347.0,2018-06-30,Greater Sydney,Inner Ring,Flat/Unit,520.0,1605.0,16530.0,Strata
140,Lane Cove,2500.0,2677.0,45.0,2018-06-30,Greater Sydney,Inner Ring,House,995.0,74.0,681.0,Non Strata
141,Lane Cove,810.0,875.0,101.0,2018-06-30,Greater Sydney,Inner Ring,Other,640.0,20.0,267.0,Strata
142,Lane Cove,810.0,875.0,101.0,2018-06-30,Greater Sydney,Inner Ring,Townhouse,707.5,20.0,328.0,Strata
143,Lane Cove,810.0,875.0,101.0,2018-06-30,Greater Sydney,Inner Ring,Flat/Unit,550.0,364.0,3311.0,Strata
144,Mosman,3500.0,4098.0,37.0,2018-06-30,Greater Sydney,Inner Ring,House,1575.0,56.0,455.0,Non Strata
145,Mosman,1035.0,1361.0,71.0,2018-06-30,Greater Sydney,Inner Ring,Other,597.5,20.0,347.0,Strata
146,Mosman,1035.0,1361.0,71.0,2018-06-30,Greater Sydney,Inner Ring,Townhouse,1075.0,20.0,195.0,Strata
147,Mosman,1035.0,1361.0,71.0,2018-06-30,Greater Sydney,Inner Ring,Flat/Unit,600.0,279.0,2851.0,Strata
148,North Sydney,2300.0,2466.0,47.0,2018-06-30,Greater Sydney,Inner Ring,House,900.0,106.0,747.0,Non Strata
149,North Sydney,1081.0,1180.0,268.0,2018-06-30,Greater Sydney,Inner Ring,Other,580.0,45.0,1258.0,Strata
150,North Sydney,1081.0,1180.0,268.0,2018-06-30,Greater Sydney,Inner Ring,Townhouse,950.0,76.0,914.0,Strata
